id_key,sympt_code,jor_sympt,jor_sympt::arabic
A36,A36_4,"Adherent membrane (tough, grayish-white color) of the nose, pharynx, tonsils or larynx",غشاء ملتصق (خشونة، لون رمادي أبيض) للأنف والبلعوم واللوزتين والحنجرة
A36,A36_5,Inflammation of cervical lymph nodes and surrounding tissue,التهاب الغدد الليمفاوية العنقية والأنسجة المحيطة بها
A36,A36_6,Other,أخرى
A36,A36_7,None of the above,لا شيء مما سبق
A35,A35_1,Inability to open the mouth,عدم القدرة على فتح الفم
A35,A35_2,"Constant spasm in the muscles of the face, including the jaw",تشنج مستمر في عضلات الوجه بما في ذلك الفك
A35,A35_3,Rigid body,جسد متصلب
A35,A35_4,Inability to breathe,عدم القدرة على التنفس
A35,A35_5,Other,أخرى
A35,A35_6,None of the above,لا شيء مما سبق
A37,A37_1,Cough lasting at least 2 weeks ,سعال مستمر لأسبوعين على الأقل
A37,A37_2,Paroxysms of coughing,نوبة من السعال
A37,A37_3,Inspiratory “whoop”,"الشهيق ""نعيق"""
A37,A37_4,Posttussive vomiting,تقيء ما بعد السعال
A37,A37_5,Other,أخرى
A37,A37_6,None of the above,لا شيء مما سبق
A22.0,A22_1,Pimple/papule with or without surrounding vesicles,بثرة / حطاطة مع أو بدون الحويصلات المحيطة
A22.0,A22_2,Oedema,وذمة
A22.0,A22_3,Eschar,ندبة
A22.0,A22_4,Other,أخرى
A22.0,A22_5,None of the above,لا شيء مما سبق
A22.2,A22_6,Nausea,الغثيان
A22.2,A22_7,Vomiting,القيء
A22.2,A22_8,Fever,الحمى
A22.2,A22_9,Abdominal pain,ألم في البطن
A22.2,A22_10,Haematemesis,قيء دموي
A22.2,A22_11,Bloody diarrhoea,إسهال مدمم
A22.2,A22_12,Massive ascites,استسقاء كثير
A22.2,A22_13,Toxaemia and shock,تسمم الدم والصدمة
A22.2,A22_14,Sore throat,التهاب الحلق
A22.2,A22_15,Dysphagia,عسر البلع
A22.2,A22_16,Regional lymphadenopathy in the neck,تضخم منطقة العقد اللمفية في الرقبة 
A22.2,A22_17,Other,أخرى
A22.2,A22_18,None of the above,لا شيء مما سبق
A22.1,A22_19,Mild fever,حمى خفيفة
A22.1,A22_20,Fatigue,التعب
A22.1,A22_21,Malaise,توعك
A22.1,A22_22,Headache,صداع
A22.1,A22_23,Muscle ache,آلام العضلات
A22.1,A22_24,Chills and fever,قشعريرة وحمى
A22.1,A22_25,Dyspnoea,بحة في الصوت
A22.1,A22_26,Cyanosis,الازرقاق
A22.1,A22_27,Disorientation with coma,الارتباك مع الغيبوبة
A22.1,A22_28,Other,أخرى
A22.1,A22_29,None of the above,لا شيء مما سبق
A82,A82_1,"Spasms in response to tactile, auditory, visual or olfactory stimuli",تشنجات كرد فعل للمس والسمع، البصر أو محفزات حاسة الشم
A82,A82_2,Paralysis or Guillan-Barre-like syndrome,"متلازمة شلل مماثل لـ ""غيان-باريه""  "
A82,A82_3,Myoedema at percussion sites,الوذمة في مواقع قرع
A82,A82_4,Encephalitis,التهاب الدماغ
A82,A82_5,Other,أخرى
A82,A82_6,None of the above,لا شيء مما سبق
B06,B06_1,Low-grade fever,انخفاض درجة حرارة الجسم
B06,B06_2,Headache,صداع
B06,B06_3,Malaise,توعك
B06,B06_4,Mild coryza,برد خفيف
B06,B06_5,Conjunctivitis,التهاب باطن الجفن - الملتحمة
B06,B06_6,"Postauricular, occipital and posterior cervical lymphadenopathy",التهاب الغدد اللمفية  خلف العنقيه  و خلف الاذن و القحف 
B06,B06_7,Rash,طفح جلدي 
B06,B06_8,Arthralgia,الم المفاصل
B06,B06_9,Arthritis,التهاب المفاصل
B06,B06_10,Thrombocytopenic purpura,نزف تحت الجلد بسبب انخفاض القريصات الدموية
B06,B06_11,Encephalitis,التهاب الدماغ
B06,B06_12,Other,أخرى
B06,B06_13,None of the above,لا شيء مما سبق
"J09, J10",J09-10_1,Fever,حمى
"J09, J10",J09-10_2,Cough,سعال
"J09, J10",J09-10_3,Sore throat,احتقان في الحلق
"J09, J10",J09-10_4,Runny/stuffy nose,سيلان الأنف
"J09, J10",J09-10_5,Body ache,الالام في الجسم 
"J09, J10",J09-10_6,Headache,صداع
"J09, J10",J09-10_7,Fatigue,تعب
"J09, J10",J09-10_8,Vomiting,استفراغ
"J09, J10",J09-10_9,Diarrhoea,اسهال
"J09, J10",J09-10_10,Other,آخر
"J09, J10",J09-10_11,None of the above,لا شيء مما سبق
A05,A05_1,Nausea,الغثيان
A05,A05_2,Vomiting,القيء
A05,A05_3,Mucoid diarrhoea (fatty stools),إسهال مخاطي (براز دهني)
A05,A05_4,Other diarrhoea (non-watery and non-bloody type),إسهال آخر (إسهال غير مائي وغير مدمم)
A05,A05_5,Abdominal pain,ألم في البطن
A05,A05_6,Headache,صداع
A05,A05_7,Dizziness,الدوخة
A05,A05_8,Loss of consciousness,فقدان الوعي
A05,A05_9,Coma,غيبوبة
A05,A05_10,Thirst,العطش
A05,A05_11,Dehydration,الجفاف
A05,A05_12,Dyspnoea,بحة في الصوت
A05,A05_13,Weakness,ضعف
A05,A05_14,Malaise,توعك
A05,A05_15,Sore throat,التهاب الحلق
A05,A05_16,Fever,حمى
A05,A05_17,Chills,قشعريرة
A05,A05_18,Gastroenteritis,التهاب المعدة والأمعاء
A05,A05_19,Blurred vision,عدم وضوح الرؤية
A05,A05_20,Twitching/convulsions,الوخز / التشنجات
A05,A05_21,Tingling/numbness,وخز / خدر
A05,A05_22,Dilated pupils,اتساع حدقة العين
A05,A05_23,Constricted pupils,تضيق حدقة العين
A05,A05_24,Difficulty swallowing/speaking/breathing,صعوبة في البلع / التحدث / التنفس
A05,A05_25,Rash,طفح
A05,A05_26,Itching of skin,حكة في الجلد
A05,A05_27,Other,أخرى
A05,A05_28,None of the above,لا شيء مما سبق
A75,A75_1,Headache,صداع
A75,A75_2,Chills,قشعريرة
A75,A75_3,High fever ,ارتفاع في درجة الحرارة
A75,A75_4,Prostration,الحالة تزداد سوءا
A75,A75_5,Coughing,السعال
A75,A75_6,Severe muscular pain,ألم عضلي شديد
A75,A75_7,Macular skin eruption (dark spots) on upper trunk or other areas of the body),طفح جلدي تبقعي (بقع داكنة) على الجذع العلوي أو مناطق أخرى من الجسم
A75,A75_8,Other,أخرى
A75,A75_9,None of the above,لا شيء مما سبق
"A16, A17, A18, A19",A16-19_1,Cough of long duration (>2 weeks),السعال لمدة طويلة (أكثر من أسبوعين)
"A16, A17, A18, A19",A16-19_2,Coughing blood ,سعال مع دم
"A16, A17, A18, A19",A16-19_3,Chest pain,ألم في الصدر
"A16, A17, A18, A19",A16-19_4,Shortness of breath,ضيق في التنفس
"A16, A17, A18, A19",A16-19_5,Fever/night sweats,حمى / تعرق ليلي
"A16, A17, A18, A19",A16-19_6,Tiredness,تعب
"A16, A17, A18, A19",A16-19_7,Loss of appetite,فقدان الشهية
"A16, A17, A18, A19",A16-19_8,Weight loss,فقدان الوزن
"A16, A17, A18, A19",A16-19_9,Other,أخرى
"A16, A17, A18, A19",A16-19_10,None of the above,لا شيء مما سبق
A30,A30_1,"Leprosy patches (can be pale or reddish or copper colored; flat or raised; do not itch; usually do not hurt; lack sensation to heat, touch or pain; can appear anywhere)",بقع الجذام (يمكن أن يكون شاحبة أو محمرة أو نحاسية اللون، مسطحة أو بارزة؛ لا تسبب الحكاك، عادة لا تؤذي، عدم الإحساس بالحرارة واللمس أو الألم، ويمكن أن تظهر في أي مكان)
A30,A30_2,Reddish or skin-colored nodules,عقيدات بلون الجلد أو محمرة
A30,A30_3,Smooth and shiny diffuse thickening of skin without a loss of sensation,انتشار سماكة الجلد ويكون ناعم وبراق  دون فقدان الإحساس
A30,A30_4,Numbness or tingling of the hands or feet,خدر أو وخز في اليدين أو القدمين
A30,A30_5,"Weakness of the hands, feet or eyelids",ضعف اليدين والقدمين أو الجفون
A30,A30_6,Painful or tender nerves,ألم شديد أو قليل في الأعصاب
A30,A30_7,Swelling of or lumps in the face or earlobes,تورم أو كتل في الوجه أو شحمة الأذن
A30,A30_8,Painless wounds or burns on the hands or feet,جروح مؤلمة أو حروق في اليدين أو القدمين
A30,A30_9,Other,أخرى
A30,A30_10,None of the above,لا شيء مما سبق
"I10, I11, I12, I13, I15",I10-15_1,Blurred vision,عدم وضوح الرؤية
"I10, I11, I12, I13, I15",I10-15_2,Headache,الصداع
"I10, I11, I12, I13, I15",I10-15_3,Shortness of breath,ضيق في التنفس
"I10, I11, I12, I13, I15",I10-15_4,Nose bleeds,نزيف الأنف
"I10, I11, I12, I13, I15",I10-15_5,Other,أخرى
"I10, I11, I12, I13, I15",I10-15_6,None of the above,لا شيء مما سبق
"J45, J46",J45-46_1,Cough,السعال
"J45, J46",J45-46_2,Difficulty breathing,صعوبة في التنفس
"J45, J46",J45-46_3,Tight chest,ضيق الصدر
"J45, J46",J45-46_4,Wheezing,الصفير
"J45, J46",J45-46_5,Symptoms triggered by respiratory infection/exercise/weather changes/stress,أعراض ناجمة عن عدوى الجهاز التنفسي / ممارسة الرياضة/ التغيرات المناخية / الإجهاد
"J45, J46",J45-46_6,Symptoms worse at night or in the morning,الأعراض أسوأ في الليل أو في الصباح
"J45, J46",J45-46_7,Symptoms since childhood or early adulthood,الأعراض منذ الطفولة أو البلوغ المبكر
"J45, J46",J45-46_8,History of hayfever/eczema,تاريخ مرضي  من حمى القش / الأكزيما
"J45, J46",J45-46_9,Other,أخرى
"J45, J46",J45-46_10,None of the above,لا شيء مما سبق
"E10, E11, E12, E13, E14",E10-14_1,Increased urinary frequency,زيادة عدد مرات التبول 
"E10, E11, E12, E13, E14",E10-14_2,Thirst,عطش
"E10, E11, E12, E13, E14",E10-14_3,Hunger,جوع
"E10, E11, E12, E13, E14",E10-14_4,Unexplained weightloss,اوزان غير مبررة
"E10, E11, E12, E13, E14",E10-14_5,Numbness in extremities,خدر الاطراف
"E10, E11, E12, E13, E14",E10-14_6,Pain in feet,الم في القدم
"E10, E11, E12, E13, E14",E10-14_7,Blurred vision,عدم وضوح الرؤيا
"E10, E11, E12, E13, E14",E10-14_8,Fatigue,تعب
"E10, E11, E12, E13, E14",E10-14_9,Recurrrent or severe infections,تكرر الألتهابات الشديدة
"E10, E11, E12, E13, E14",E10-14_10,Loss consciousness,فقدان الوعي
"E10, E11, E12, E13, E14",E10-14_11,Severe nausea or vomiting ,الغثيان الشديد أو التقيؤ
"E10, E11, E12, E13, E14",E10-14_12,Coma,سبات
"E10, E11, E12, E13, E14",E10-14_13,Other,آخر
"E10, E11, E12, E13, E14",E10-14_14,None of the above,لا شيء مما سبق
"J40, J41, J42, J43, J44, J47",J40-47_1,Cough,السعال
"J40, J41, J42, J43, J44, J47",J40-47_2,Difficulty breathing,صعوبة في التنفس
"J40, J41, J42, J43, J44, J47",J40-47_3,Tight chest,ضيق الصدر
"J40, J41, J42, J43, J44, J47",J40-47_4,Wheezing,الصفير
"J40, J41, J42, J43, J44, J47",J40-47_5,History of heavy smoking,تاريخ من التدخين الثقيل
"J40, J41, J42, J43, J44, J47",J40-47_6,Age (symptoms began in middle age or later),(بدأت الأعراض في منتصف العمر أو في وقت لاحق)العمر
"J40, J41, J42, J43, J44, J47",J40-47_7,History of exposure to indoor pollution/occupational agents,تاريخ من التعرض للتلوث في الأماكن المغلقة في المهنة
"J40, J41, J42, J43, J44, J47",J40-47_8,Symptoms worsened over time,تسوء الأعراض مع مرور الوقت
"J40, J41, J42, J43, J44, J47",J40-47_9,Other,أخرى
"J40, J41, J42, J43, J44, J47",J40-47_10,None of the above,لا شيء مما سبق
"N17, N18, N19",N17-19_1,Confusion,ارتباك
"N17, N18, N19",N17-19_2,Nausea / vommitting,الغثيان / القيء
"N17, N18, N19",N17-19_3,Poor appetite,فقدان الشهية
"N17, N18, N19",N17-19_4,Dyspnoea,بحة في الصوت
"N17, N18, N19",N17-19_5,Oedema,الاستسقاء
"N17, N18, N19",N17-19_6,Weight loss,خسارة الوزن
"N17, N18, N19",N17-19_7,Other,أخرى
"N17, N18, N19",N17-19_8,None of the above,لا شيء مما سبق
"D66, D67",D66-67_1,haematoma / Effusion,ورم دموي / انصباب
"D66, D67",D66-67_2,haematuria,البيلة الدموية
"D66, D67",D66-67_3,CNS signs (decreased GCS),علامات الجهاز العصبي المركزي (GCS منخفض) 
"D66, D67",D66-67_4,Pallor,شحوب
"D66, D67",D66-67_5,Dyspnoea,بحة في الصوت
"D66, D67",D66-67_6,Tachycardia,عدم انتظام دقات القلب
"D66, D67",D66-67_7,Other,أخرى
"D66, D67",D66-67_8,None of the above,لا شيء مما سبق
!0,!0_1,Unusual clinical presentation,السريرية غير عادي
!0,!0_2,Change in treatment response,التغير في الاستجابة للعلاج
